DATE,DEXSFUS
2000-01-03,6.1260
2000-01-04,6.0850
2000-01-05,6.0700
2000-01-06,6.0800
2000-01-07,6.0570
2000-01-10,6.0765
2000-01-11,6.0900
2000-01-12,6.0685
2000-01-13,6.0570
2000-01-14,6.0750
2000-01-17,6.0750
2000-01-18,6.0890
2000-01-19,6.1140
2000-01-20,6.1000
2000-01-21,6.1280
2000-01-24,6.1675
2000-01-25,6.1617
2000-01-26,6.1750
2000-01-27,6.2270
2000-01-28,6.3575
2000-01-31,6.3125
2000-02-01,6.2800
2000-02-02,6.2825
2000-02-03,6.2575
2000-02-04,6.2860
2000-02-07,6.2905
2000-02-08,6.2990
2000-02-09,6.3200
2000-02-10,6.3425
2000-02-11,6.3610
2000-02-14,6.3550
2000-02-15,6.3550
2000-02-16,6.3375
2000-02-17,6.3250
2000-02-18,6.3250
2000-02-21,6.3250
2000-02-22,6.3130
2000-02-23,6.3350
2000-02-24,6.3290
2000-02-25,6.3120
2000-02-28,6.3725
2000-02-29,6.3400
2000-03-01,6.3525
2000-03-02,6.3680
2000-03-03,6.4900
2000-03-06,6.5000
2000-03-07,6.5230
2000-03-08,6.4825
2000-03-09,6.4025
2000-03-10,6.3875
2000-03-13,6.4350
2000-03-14,6.4400
2000-03-15,6.4750
2000-03-16,6.4500
2000-03-17,6.4700
2000-03-20,6.4920
2000-03-21,6.4840
2000-03-22,6.4575
2000-03-23,6.4780
2000-03-24,6.4835
2000-03-27,6.4650
2000-03-28,6.4900
2000-03-29,6.5125
2000-03-30,6.5790
2000-03-31,6.5350
2000-04-03,6.5650
2000-04-04,6.5600
2000-04-05,6.6025
2000-04-06,6.5750
2000-04-07,6.5610
2000-04-10,6.5550
2000-04-11,6.5925
2000-04-12,6.5740
2000-04-13,6.5645
2000-04-14,6.5835
2000-04-17,6.6210
2000-04-18,6.6100
2000-04-19,6.6380
2000-04-20,6.7020
2000-04-21,6.7400
2000-04-24,6.7325
2000-04-25,6.7305
2000-04-26,6.8050
2000-04-27,6.8650
2000-04-28,6.7830
2000-05-01,6.7850
2000-05-02,6.7750
2000-05-03,6.8450
2000-05-04,6.9225
2000-05-05,6.9400
2000-05-08,6.9400
2000-05-09,7.0900
2000-05-10,7.0755
2000-05-11,6.9750
2000-05-12,7.0400
2000-05-15,7.0400
2000-05-16,7.0725
2000-05-17,7.1175
2000-05-18,7.1340
2000-05-19,7.1800
2000-05-22,7.1175
2000-05-23,7.0550
2000-05-24,7.1180
2000-05-25,7.1475
2000-05-26,7.1350
2000-05-29,7.1350
2000-05-30,7.0515
2000-05-31,6.9675
2000-06-01,6.9875
2000-06-02,6.9300
2000-06-05,6.9250
2000-06-06,6.9450
2000-06-07,6.9725
2000-06-08,7.0475
2000-06-09,7.0040
2000-06-12,7.0280
2000-06-13,7.0050
2000-06-14,6.9300
2000-06-15,6.9000
2000-06-16,6.8300
2000-06-19,6.8660
2000-06-20,6.9050
2000-06-21,6.9300
2000-06-22,6.9190
2000-06-23,6.8800
2000-06-26,6.8780
2000-06-27,6.8175
2000-06-28,6.8100
2000-06-29,6.8225
2000-06-30,6.7900
2000-07-03,6.8125
2000-07-04,6.8125
