,Date,Price,Open,High,Low,Vol.,Change %,BS_CUR_ASSET_REPORT,BS_TOT_ASSET,BS_CUR_LIAB,CF_CASH_FROM_FNC_ACT,CF_CASH_FROM_INV_ACT,TRAIL_12M_EST_COMPARABLE_EPS_ADJ,TRAIL_12M_EST_COMP_EPS_EXCL_STK,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_ASSET,CUR_RATIO,CASH_ST_INVESTMENTS_PER_SH,PX_TO_TANG_BV_PER_SH,CAPEX_TO_DEPR_EXPN_RATIO,BOOK_VAL_PER_SH,TANG_BOOK_VAL_PER_SH,EV_TO_BOOK_VALUE,PX_TO_BOOK_RATIO,CURRENT_EV_TO_BOOK_VALUE,CAPITAL_EXPEND,RETURN_ON_CAP,CUR_MKT_CAP,FREE_FLOAT_MARKET_CAP,AVERAGE_MARKET_CAP,FREE_CASH_FLOW_PER_SH,CASH_FLOW_PER_SH,TRAIL_12M_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,PX_TO_CASH_FLOW,SHORT_AND_LONG_TERM_DEBT,TOTAL_DEBT_TO_CURRENT_EV,NET_DEBT_PER_SHARE,NET_DEBT_TO_EBITDA,DVD_PAYOUT_RATIO,INDX_GENERAL_EARN,INDX_GENERAL_PE_RATIO,EBIT,EBITDA,EBITDA_MARGIN,TRAIL_12M_EPS_BEF_XO_ITEM,T12_EPS_CONT_OPS,TRAIL_12M_EBITDA_PER_SHARE,TRAIL_12M_EPS,EARN_YLD,PX_TO_EBITDA,CURRENT_EV_TO_T12M_EBITDA,CURRENT_EV_TO_T12M_EBIT,LONG_TERM_PRICE_EARNINGS_RATIO,ENTERPRISE_VALUE,EV_TO_T12M_SALES,EV_TO_BOOK_VALUE1,TOTAL_DEBT_TO_EV1,CURR_ENTP_VAL,CURRENT_EV_TO_12M_SALES,CURRENT_EV_TO_T12M_EBITDA1,CURRENT_EV_TO_T12M_EBIT1,CURRENT_EV_TO_BOOK_VALUE1,TOTAL_DEBT_TO_CURRENT_EV1,TOTAL_EQUITY1,RETURN_COM_EQY,TOT_DEBT_TO_TOT_EQY1,FREE_CASH_FLOW_PER_SH1,TRAIL_12M_CAP_EXPEND,OPER_INC_PER_SH,TRAIL_12M_CASH_FROM_INV_ACT,OPER_MARGIN,PROF_MARGIN,TRAIL_12M_OPER_MARGIN,TRAIL_12M_PROF_MARGIN,PX_TO_FREE_CASH_FLOW1,PX_TO_BOOK_RATIO1,PX_TO_SALES_RATIO,PX_TO_CASH_FLOW1,PX_TO_EBITDA1,PX_TO_TANG_BV_PER_SH1,REVENUE_PER_SH,EV_TO_T12M_SALES1,TRAIL_12M_SALES_PER_SH,PX_TO_SALES_RATIO1,TRAIL_12M_EPS_AFTER_XO1,TRAIL_12M_DILUTED_EPS1,TRAIL_12M_EPS_BEF_XO_ITEM1,TRAIL_12M_CAP_EXPEND1,TRAIL_12M_GROSS_MARGIN1,TRAIL_12M_OPER_MARGIN1,TRAIL_12M_PROF_MARGIN1,TRAIL_12M_SALES_PER_SH1,TRAIL_12M_CASH_FLOW_PER_SH1,T12_EPS_CONT_OPS1,TRAIL_12M_EBITDA_PER_SHARE1,TRAIL_12M_EPS1,CURRENT_EV_TO_T12M_EBITDA2,CURRENT_EV_TO_T12M_EBIT2,TRAIL_12M_CASH_FROM_INV_ACT1,TRAIL_12M_CASH_FROM_FNC_ACT,EBIT1,EBITDA1,IS_EPS,IS_DILUTED_EPS,IS_BASIC_EPS_CONT_OPS,IS_DEPR_EXP,PE_RATIO,T12_EPS_AGGTE,INDX_WEIGHTED_BOOK_VAL,INDX_ADJ_PE,INDX_PX_SALES,INDX_ADJ_POSITIVE_PE,INDX_POS_ERN,IDX_ENTERPRISE_VALUE,NET_DPS_12M_AGGTE,NET_AGGTE_DVD_YLD,TURNOVER
0,2014-12-31,"49,770.60","49,876.29","49,876.29","49,757.51",37.82M,0.03%,12883.39,96148.11,8642.98,33.09,-4861.63,3447.53,3447.71,3.09,13.79,1.49,7452.28,2.77,2.02,23274.68,17937.78,2.5865,2.1384,2.5865,-2759.66,9.68,9742719.0,6589184.0,58339.63,3008.12,5237.33,5237.33,16.55,9.5031,13257.85,0.22,5684.08,0.93,60.27,2601.95,19.1282,4158.52,6139.92,21.73,2738.09,3122.07,6139.92,2601.95,5.2279,8.1061,9.8047,14.4764,15.38,60200.24,2.1308,2.5865,0.22,60200.24,2.1308,9.8047,14.4764,2.5865,0.22,25580.42,12.12,51.83,3008.12,-2759.66,4158.52,-4861.63,14.59,9.59,14.59,9.59,16.55,2.1384,1.7617,9.5031,8.1061,2.77,28252.21,2.1308,28252.21,1.7617,2740.52,2683.74,2738.09,-2759.66,33.82,14.59,9.59,28252.21,5237.33,3122.07,6139.92,2601.95,9.8047,14.4764,-4861.63,33.09,4158.52,6139.92,2740.52,2683.74,3122.07,1362.97,19.1282,2601.95,23274.68,19.1282,1.7617,16.6773,2984.34,60200.24,1525.23,3.06,2918987.0
1,2014-12-30,"49,755.61","50,100.26","50,100.26","49,735.40",65.97M,-0.99%,12956.91,94751.86,8861.3,-501.82,-4143.8,-778.0,-779.44,3.33,13.78,1.46,7285.01,2.84,2.18,22826.68,17499.73,2.6549,2.1797,2.6549,-2825.26,9.46,9724756.0,6579527.0,58232.07,2979.25,5408.03,5408.03,16.7,9.2003,13058.85,0.22,5637.94,0.88,53.88,2910.28,17.0965,4468.63,6438.42,22.12,2899.38,3207.66,6438.42,2910.28,5.8492,7.7279,9.4125,13.5616,15.38,60601.85,2.0817,2.6549,0.22,60601.85,2.0817,9.4125,13.5616,2.6549,0.22,25141.08,12.93,51.94,2979.25,-2825.26,4468.63,-4143.8,15.23,9.98,15.23,9.98,16.7,2.1797,1.7091,9.2003,7.7279,2.84,29112.39,2.0817,29112.39,1.7091,2924.8,2862.54,2899.38,-2825.26,35.67,15.23,9.98,29112.39,5408.03,3207.66,6438.42,2910.28,9.4125,13.5616,-4143.8,-501.82,4468.63,6438.42,2924.8,2862.54,3207.66,1298.51,17.0965,2910.28,22826.68,17.0965,1.7091,16.7178,2976.21,60601.85,1525.23,3.07,6777646.0
2,2014-12-29,"50,254.08","49,668.40","50,254.08","49,656.58",62.85M,1.57%,12942.27,94740.13,8853.73,-501.45,-4143.72,-863.49,-864.92,3.33,13.78,1.46,7278.89,2.87,2.18,22821.67,17494.81,2.679,2.202,2.679,-2821.95,9.46,9837103.0,6658923.0,58904.81,2979.06,5410.61,5410.61,16.87,9.2881,13058.8,0.21,5644.03,0.88,53.86,2910.21,17.2682,4469.03,6429.98,22.09,2899.37,3207.64,6429.98,2910.21,5.791,7.8156,9.5085,13.6807,15.5,61139.2,2.1003,2.679,0.21,61139.2,2.1003,9.5085,13.6807,2.679,0.21,25134.93,12.93,51.95,2979.06,-2821.95,4469.03,-4143.72,15.24,9.98,15.24,9.98,16.87,2.202,1.7264,9.2881,7.8156,2.87,29109.34,2.1003,29109.34,1.7264,2924.79,2862.41,2899.37,-2821.95,35.67,15.24,9.98,29109.34,5410.61,3207.64,6429.98,2910.21,9.5085,13.6807,-4143.72,-501.45,4469.03,6429.98,2924.79,2862.41,3207.64,1296.9,17.2682,2910.21,22821.67,17.2682,1.7264,16.8914,2975.12,61139.2,1525.23,3.04,6061978.0
3,2014-12-24,"49,478.57","49,529.27","49,621.22","49,459.64",22.60M,-0.18%,12960.37,94555.91,8870.17,-692.93,-3954.94,-863.95,-865.38,3.33,13.75,1.46,7335.24,2.82,2.17,22775.25,17542.48,2.6405,2.1725,2.6405,-2811.27,9.46,9702343.0,6576620.0,58097.86,2982.35,5409.11,5409.11,16.59,9.1473,12999.02,0.22,5543.63,0.86,53.83,2910.32,17.0011,4461.59,6423.49,22.11,2899.54,3204.36,6423.49,2910.32,5.882000000000001,7.7028,9.3621,13.4789,15.25,60137.28,2.0703,2.6405,0.22,60137.28,2.0703,9.3621,13.4789,2.6405,0.22,25077.88,12.94,51.83,2982.35,-2811.27,4461.59,-3954.94,15.25,10.0,15.25,10.0,16.59,2.1725,1.7033,9.1473,7.7028,2.82,29047.95,2.0703,29047.95,1.7033,2924.97,2862.5,2899.54,-2811.27,35.63,15.25,10.0,29047.95,5409.11,3204.36,6423.49,2910.32,9.3621,13.4789,-3954.94,-692.93,4461.59,6423.49,2924.97,2862.5,3204.36,1295.02,17.0011,2910.32,22775.25,17.0011,1.7033,16.6342,2974.51,60137.28,1525.23,3.08,2101941.0
4,2014-12-23,"49,568.00","49,289.26","49,650.19","49,080.68",88.85M,0.46%,12972.46,94555.84,8878.26,-692.93,-3954.95,-863.95,-865.38,3.33,13.75,1.46,7335.24,2.83,2.17,22775.23,17542.46,2.6462,2.1764,2.6462,-2808.2,9.46,9714113.0,6574977.0,58168.34,2979.09,5409.1,5409.1,16.64,9.1638,12999.01,0.22,5543.63,0.86,53.83,2910.26,17.0322,4461.59,6422.06,22.11,2899.54,3204.36,6422.06,2910.26,5.8712,7.7184,9.3846,13.5083,15.27,60268.4,2.0748,2.6462,0.22,60268.4,2.0748,9.3846,13.5083,2.6462,0.22,25077.86,12.94,51.83,2979.09,-2808.2,4461.59,-3954.95,15.25,10.0,15.25,10.0,16.64,2.1764,1.7064,9.1638,7.7184,2.83,29047.88,2.0748,29047.88,1.7064,2924.96,2862.49,2899.54,-2808.2,35.63,15.25,10.0,29047.88,5409.1,3204.36,6422.06,2910.26,9.3846,13.5083,-3954.95,-692.93,4461.59,6422.06,2924.96,2862.49,3204.36,1292.48,17.0322,2910.26,22775.23,17.0322,1.7064,16.6629,2974.75,60268.4,1524.96,3.08,6697996.0
5,2014-12-22,"49,339.32","49,514.80","49,834.11","49,238.85",117.95M,-0.10%,13020.99,94932.86,8955.94,-723.42,-3945.98,-859.77,-861.2,3.32,13.75,1.45,7352.34,2.82,2.2,22732.95,17507.54,2.6441,2.1704,2.6441,-2829.31,9.49,9645660.0,6542063.0,58106.39,2976.58,5421.92,5421.92,16.58,9.1,13051.53,0.22,5580.65,0.87,53.9,2900.89,17.0083,4463.42,6438.02,22.07,2896.32,3196.94,6438.02,2900.89,5.8795,7.6637,9.3366,13.4671,15.27,60109.3,2.0603,2.6441,0.22,60109.3,2.0603,9.3366,13.4671,2.6441,0.22,25031.88,12.98,52.14,2976.58,-2829.31,4463.42,-3945.98,15.2,9.97,15.2,9.97,16.58,2.1704,1.6912,9.1,7.6637,2.82,29174.58,2.0603,29174.58,1.6912,2922.06,2860.38,2896.32,-2829.31,35.73,15.2,9.97,29174.58,5421.92,3196.94,6438.02,2900.89,9.3366,13.4671,-3945.98,-723.42,4463.42,6438.02,2922.06,2860.38,3196.94,1288.7,17.0083,2900.89,22732.95,17.0083,1.6912,16.6313,2966.65,60109.3,1524.26,3.09,9280069.0
6,2014-12-19,"49,386.71","49,634.54","49,797.22","49,210.20",264.63M,0.20%,13020.87,94999.95,8955.93,-723.93,-3948.77,-860.39,-861.82,3.32,13.75,1.45,7357.53,2.82,2.2,22749.01,17519.91,2.6444,2.1709,2.6444,-2830.76,9.49,9638976.0,6529847.0,58066.12,2978.09,5425.73,5425.73,16.58,9.1023,13060.75,0.22,5584.6,0.87,53.9,2902.88,17.012999999999998,4466.58,6436.92,22.05,2898.36,3199.19,6436.92,2902.88,5.8779,7.6724,9.3458,13.4685,15.23,60157.93,2.0606,2.6444,0.22,60157.93,2.0606,9.3458,13.4685,2.6444,0.22,25049.57,12.98,52.14,2978.09,-2830.76,4466.58,-3948.77,15.2,9.97,15.2,9.97,16.58,2.1709,1.6916,9.1023,7.6724,2.82,29195.06,2.0606,29195.06,1.6916,2924.11,2862.39,2898.36,-2830.76,35.73,15.2,9.97,29195.06,5425.73,3199.19,6436.92,2902.88,9.3458,13.4685,-3948.77,-723.93,4466.58,6436.92,2924.11,2862.39,3199.19,1288.92,17.012999999999998,2902.88,22749.01,17.012999999999998,1.6916,16.6336,2969.1,60157.93,1525.34,3.09,20720200.0
7,2014-12-18,"49,290.56","47,859.80","49,290.56","47,859.80",525.77M,4.25%,13042.81,95000.12,8970.85,-723.93,-3948.78,-860.26,-861.69,3.32,13.75,1.45,7357.55,2.81,2.2,22749.05,17519.94,2.6357,2.1667,2.6357,-2827.39,9.49,9612033.0,6501880.0,57903.81,2974.51,5425.68,5425.68,16.57,9.0847,13060.78,0.22,5584.6,0.87,53.9,2902.81,16.9803,4466.59,6441.05,22.06,2898.33,3199.16,6441.05,2902.81,5.8892,7.6526,9.3092,13.4243,15.21,59960.76,2.0538,2.6357,0.22,59960.76,2.0538,9.3092,13.4243,2.6357,0.22,25049.62,12.98,52.14,2974.51,-2827.39,4466.59,-3948.78,15.2,9.97,15.2,9.97,16.57,2.1667,1.6883,9.0847,7.6526,2.81,29194.62,2.0538,29194.62,1.6883,2924.08,2862.37,2898.33,-2827.39,35.73,15.2,9.97,29194.62,5425.68,3199.16,6441.05,2902.81,9.3092,13.4243,-3948.78,-723.93,4466.59,6441.05,2924.08,2862.37,3199.16,1285.66,16.9803,2902.81,22749.05,16.9803,1.6883,16.6035,2968.68,59960.76,1525.34,3.09,53142640.0
8,2014-12-17,"47,282.48","46,926.18","47,456.83","46,898.60",287.11M,-0.24%,13041.53,95001.78,8970.22,-723.94,-3948.85,-860.89,-862.32,3.32,13.75,1.45,7357.67,2.7,2.19,22749.45,17520.25,2.5438,2.0784,2.5438,-2813.83,9.49,9247648.0,6267489.0,55708.72,2960.32,5425.91,5425.91,15.97,8.7142,13061.0,0.23,5584.7,0.87,53.9,2903.11,16.2868,4466.66,6396.53,21.91,2898.45,3199.29,6396.53,2903.11,6.1399,7.3919,9.0473,12.9562,14.55,57871.05,1.9821,2.5438,0.23,57871.05,1.9821,9.0473,12.9562,2.5438,0.23,25050.05,12.98,52.14,2960.32,-2813.83,4466.66,-3948.85,15.2,9.97,15.2,9.97,15.97,2.0784,1.6195,8.7142,7.3919,2.7,29196.18,1.9821,29196.18,1.6195,2924.21,2862.49,2898.45,-2813.83,35.73,15.2,9.97,29196.18,5425.91,3199.29,6396.53,2903.11,9.0473,12.9562,-3948.85,-723.94,4466.66,6396.53,2924.21,2862.49,3199.29,1284.24,16.2868,2903.11,22749.45,16.2868,1.6195,15.93,2968.14,57871.05,1525.34,3.23,24760300.0
9,2014-12-15,"47,397.44","47,522.65","47,887.89","47,266.81",167.91M,-1.34%,13035.81,95001.68,8966.29,-723.94,-3948.84,-860.88,-862.32,3.32,13.75,1.45,7357.67,2.71,2.19,22749.43,17520.23,2.5531,2.0835,2.5531,-2819.15,9.49,9277961.0,6299254.0,55891.33,2965.92,5425.91,5425.91,15.98,8.7354,13060.99,0.22,5584.7,0.87,53.9,2903.09,16.3265,4466.66,6409.13,21.95,2898.45,3199.29,6409.13,2903.09,6.125,7.3953,9.0623,13.0034,14.49,58081.64,1.9894,2.5531,0.22,58081.64,1.9894,9.0623,13.0034,2.5531,0.22,25050.03,12.98,52.14,2965.92,-2819.15,4466.66,-3948.84,15.2,9.97,15.2,9.97,15.98,2.0835,1.6234,8.7354,7.3953,2.71,29196.14,1.9894,29196.14,1.6234,2924.21,2862.49,2898.45,-2819.15,35.73,15.2,9.97,29196.14,5425.91,3199.29,6409.13,2903.09,9.0623,13.0034,-3948.84,-723.94,4466.66,6409.13,2924.21,2862.49,3199.29,1284.58,16.3265,2903.09,22749.43,16.3265,1.6234,15.9658,2968.69,58081.64,1525.34,3.22,15639570.0
